iter	Passed	Remaining
0	107	3208811	134	2009222	160	153	133	183	14	1444	210	5	1725	229	6	179	6	254	10642
7	278	1015188	305	9864
9	317	9216
10	359	9432
11	401	9636
12	431	9530
13	467	9553
14	470	8946
15	504	8952
16	540	8990
17	574	9002
18	586	8666
19	611	8560
20	640	8510
21	668	8448
22	696	8388
23	723	8321
24	748	8233
25	775	8175
26	800	8096
27	828	8045
28	854	7989
29	887	7985
30	909	7892
31	944	7910
32	972	7870
33	1001	7834334	1025	7761335	1052	771936	1073	7632
337	1108	764138	1126	7541
39	1154	7501
40	1177	7438
441	1212	745042	1234	7377
43	1265	7361
44	1292	7324
445	1326	7325446	1354	7290447	1384	7266448	1413	7238449	1445	7227550	1468	7168551	1496	7136552	1524	7103553	1556	7090554	1591	7091555	1624	7077556	1661	708157	1678	7003
558	1720	702659	1746	6985
60	1775	6956
61	1807	6939
62	1836	6908
63	1872	6906
64	1917	6932
65	1949	6910
66	1977	6876
67	2009	6855
68	2038	6825
69	2071	6805
70	2095	6758
71	2129	6743
72	2155	6704
73	2180	6660
74	2215	6647
75	2233	6581
76	2272	6581
77	2300	6547
78	2333	6527
79	2358	6486
80	2384	6447
81	2408	6402
82	2436	6368
83	2460	6327
84	2482	6278
85	2494	6208
86	2521	6173
87	2549	6141
88	2575	6105
89	2603	6073
90	2630	6041
91	2654	6002
92	2680	5965
93	2704	5927
94	2728	5888
95	2755	5854
96	2779	5817
97	2802	5777
98	2825	5735
99	2848	5697
100	2872	5660
101	2888	5606
102	2909	5564
103	2933	5528
104	2943	5466
105	2967	5430
106	2993	5399
107	3016	5363
108	3038	5325
109	3063	5291
110	3090	5261
111	3114	5228
112	3138	5193
113	3161	5158
114	3184	5122
115	3209	5090
116	3229	5051
117	3253	5018
118	3274	4980
119	3296	4944
120	3322	4915
121	3349	4887
122	3374	4856
123	3400	4826
124	3425	4795
125	3452	4767
126	3478	4737
127	3504	4708
128	3526	4674
129	3551	4643
130	3574	4610
131	3601	4583
132	3625	4552
133	3654	4527
134	3680	4498
135	3704	4467
136	3726	4433
137	3748	4399
138	3772	4369
139	3796	4338
140	3820	4308
141	3849	4283
142	3878	4257
143	3901	4226
144	3925	4196
145	3951	4168
146	3977	4140
147	4007	4115
148	4038	4093
149	4064	4064
150	4093	4039
151	4124	4015
152	4153	3990
153	4182	3965
154	4206	3934
155	4233	3908
156	4259	3879
157	4282	3849
158	4307	3819
159	4331	3790
160	4357	3762
161	4381	3732
162	4409	3706
163	4435	3678
164	4471	3658
165	4496	3630
166	4526	3605
167	4556	3579
168	4578	3549
169	4605	3522
170	4633	3495
171	4671	3476
172	4711	3458
173	4738	3431
174	4764	3403
175	4785	3371
176	4811	3343
177	4840	3317
178	4862	3286
179	4890	3260
180	4914	3230
181	4938	3201
182	4961	3172
183	4985	3143
184	5011	3115
185	5037	3087
186	5062	3059
187	5084	3028
188	5108	3000
189	5131	2971
190	5154	2941
191	5180	2913
192	5208	2887
193	5235	2860
194	5255	2829
195	5280	2802
196	5303	2773
197	5327	2744
198	5350	2715
199	5376	2688
200	5403	2661
201	5425	2632
202	5445	2601
203	5471	2575
204	5497	2547
205	5521	2519
206	5547	2492
207	5572	2464
208	5595	2436
209	5615	2406
210	5643	2380
211	5669	2353
212	5697	2327
213	5729	2302
214	5762	2278
215	5797	2254
216	5826	2228
217	5852	2201
218	5873	2172
219	5899	2145
220	5924	2117
221	5948	2090
222	5970	2061
223	5995	2034
224	6022	2007
225	6047	1980
226	6076	1954
227	6104	1927
228	6137	1903
229	6174	1879
230	6200	1852
231	6230	1826
232	6256	1799
233	6288	1773
234	6312	1745
235	6338	1718
236	6364	1691
237	6390	1664
238	6421	1639
239	6456	1614
240	6486	1587
241	6513	1561
242	6547	1535
243	6576	1509
244	6605	1482
245	6631	1455
246	6659	1429
247	6683	1401
248	6709	1374
249	6735	1347
250	6757	1319
251	6782	1291
252	6807	1264
253	6831	1237
254	6855	1209
255	6879	1182
256	6905	1155
257	6928	1127
258	6948	1100
259	6977	1073
260	7002	1046
261	7027	1019
262	7055	992
263	7084	966
264	7109	938
265	7134	911
266	7157	884
267	7181	857
268	7208	830
269	7237	804
270	7264	777
271	7292	750
272	7314	723
273	7338	696
274	7363	669
275	7396	643
276	7420	616
277	7447	589
278	7473	562
279	7494	535
280	7518	508
281	7544	481
282	7564	454
283	7584	427
284	7603	400
285	7627	373
286	7647	346
287	7668	319
288	7685	292
289	7703	265
290	7721	238
291	7736	211
292	7749	185
293	7763	158
294	7777	131
295	7792	105
296	7806	78
297	7818	52
298	7830	26
299	7842	0
