channel_id,video_id,video_title,length,upload_date,views,is_short,rank
UC-cY4X2sLECUhishGNiyofQ,kuDzMR6k4R4,☀️Good Morning Bebefinn! Wake up Bora | EP14 | The Most Viewed Video of Bebefinn Nursery Rhymes,205.0,2022-05-11T11:00:20Z,712442365,False,0
UC-cY4X2sLECUhishGNiyofQ,qxDuLdfGfW4,Baby Shark and Bebefinn Doo Doo Doo | EP01 | Songs for Kids | Bebefinn - Nursery Rhymes & Kids Songs,192.0,2022-04-02T22:00:31Z,538498117,False,1
UC-cY4X2sLECUhishGNiyofQ,m2mfP-AVMgQ,Run Away Baby Car!🚗 | EP38 | Baby Shark Doo Doo Doo | Bebefinn Songs for Kids | Nursery Rhymes,195.0,2022-08-03T11:00:27Z,373509083,False,2
UC-cY4X2sLECUhishGNiyofQ,N1Hgj4O9Nk0,"Mix - Baby Shark, Good Morning, Baby Car | #Bebefinn Most Viewed Videos | Animal Songs",549.0,2023-05-02T22:00:16Z,334288187,False,3
UC-cY4X2sLECUhishGNiyofQ,78rSZ9iEQeo,🍭 Yes Papa Yes Mama! | EP109 | Bebefinn Nursery Rhymes for Kids,181.0,2024-01-05T22:00:07Z,252714502,False,4
UC-cY4X2sLECUhishGNiyofQ,Lh93IVFQU-Q,Good Morning ☀️ Let's Feed Boo 😻 | EP104 | Bebefinn Best Songs and Nursery Rhym,209.0,2023-11-04T22:00:12Z,251889171,False,5
UC-cY4X2sLECUhishGNiyofQ,u05ke3nGqU0,Yes Papa! No Bebefinn's Not Eating Cookies! | EP02 | Songs for Kids | Nursery Rhymes & Kids Songs,219.0,2022-04-05T23:00:26Z,223757512,False,6
UC-cY4X2sLECUhishGNiyofQ,F437eCwurA0,☀️Good Morning! Wake Up | Sing Along Bebefinn | Nursery Rhymes Compilation for Kids | Family Song,1111.0,2023-04-19T22:00:08Z,220518842,False,7
UC-cY4X2sLECUhishGNiyofQ,QXMHKfTtah4,🚶Walking Walking with Bebefinn | EP07 | Nursery Rhymes for Kids | Healthy Habits,209.0,2022-04-16T22:00:18Z,191716344,False,8
UC-cY4X2sLECUhishGNiyofQ,oiKji3JjkgY,"🌧 Rain, Rain, Go Away | EP101 | Bebefinn Nursery Rhymes for Kids",206.0,2023-09-09T22:00:18Z,178316728,False,9
UC-cY4X2sLECUhishGNiyofQ,qC3kGaTBW7s,Moo 🐄 Oink! 🐷 Animal Sounds Song | EP18 | Songs for kids | Bebefinn - Nursery Rhymes & Kids Songs,212.0,2022-05-24T23:00:16Z,175363120,False,10
UC-cY4X2sLECUhishGNiyofQ,Sje6rnScu7o,Baby Shark Doo Doo Doo and more | Bebefinn Best Nursery Rhyme Compilation for Kids,6740.0,2022-07-30T22:00:12Z,174139073,False,11
UC-cY4X2sLECUhishGNiyofQ,stMZrWNXTKI,Ride a Bike! 🚲 | EP99 | Outdoor Play and Learning | Bebefinn Nursery Rhymes,209.0,2023-09-01T22:00:09Z,172768785,False,12
UC-cY4X2sLECUhishGNiyofQ,RLRsSeEPgJY,Ouchie! Help Me Please 😭 | EP09 | Boo Boo Song | Bebefinn - Nursery Rhymes & Kids Songs,203.0,2022-04-22T22:00:10Z,148676905,False,13
UC-cY4X2sLECUhishGNiyofQ,0PNiZflV2JQ,Five Little Sharks 🦈 | EP39 | Baby Shark Doo Doo Doo | Bebefinn Songs for Kids | Nursery Rhymes,198.0,2022-08-05T22:00:00Z,137787329,False,14
UC-cY4X2sLECUhishGNiyofQ,WKXXoPXQHjk,Bebefinn's got a boo-boo 😭 | EP70 | Boo-Boo Song for Kids | Bebefinn Sing Along2 | Nursery Rhymes,209.0,2023-01-28T22:00:11Z,135469148,False,15
UC-cY4X2sLECUhishGNiyofQ,Vk24cZJQTwE,The Cat Song 😻 I'm A Ginger Cat Boo! Meow | EP73 | Bebefinn Sing Along2 | Nursery Rhymes For Kids,200.0,2023-03-17T22:00:21Z,132446247,False,16
UC-cY4X2sLECUhishGNiyofQ,YK6aMTRCXTg,Best T-rex and dinosaur songs | Animal Songs | +more compilation | Bebefinn Nursery Rhymes for Kids,1603.0,2023-03-18T22:00:10Z,117179365,False,17
UC-cY4X2sLECUhishGNiyofQ,FDMgufO6kQ0,TOP 30 Popular Songs for Kids | +Compilation | Bebefinn Nursery Rhymes for Kids,4899.0,2022-11-11T22:00:16Z,114718375,False,18
UC-cY4X2sLECUhishGNiyofQ,AzvZEbYMqtw,Dinosaurs and Old MacDonald Had a Farm +more Songs | Bebefinn Nursery Rhymes,2476.0,2023-07-22T22:00:04Z,110576359,False,19
UC-cY4X2sLECUhishGNiyofQ,ouytzhjWSSY,I've Got a Boo Boo! | Sing Along with Bebefinn | Healthy Habits | The Boo Boo Song,3162.0,2022-05-28T23:00:28Z,105435364,False,20
UC-cY4X2sLECUhishGNiyofQ,4GCCv9LOcW8,🙈🙉 Peek-a-Boo Song | EP08 | Songs for Kids | Bebefinn - Nursery Rhymes & Kids Songs,204.0,2022-04-19T22:00:02Z,102975383,False,21
UC-cY4X2sLECUhishGNiyofQ,xJ6gG6DUjhI,🦈 Shark Finger Family | EP107 | Baby Shark Doo Doo Doo | Bebefinn Best Songs and Nursery Rhymes,198.0,2023-11-12T10:00:50Z,100976608,False,22
UC-cY4X2sLECUhishGNiyofQ,gfEYJG2CfzI,T-rex 🦖 Roar! | EP46 | Bebefinn Dinosaur Songs for Kids | Nursery Rhymes & Kids Songs,194.0,2022-08-30T22:00:20Z,99946890,False,23
UC-cY4X2sLECUhishGNiyofQ,JOKJhCK8JTE,This Is The Way We Get Dressed 🧢 🧦 | EP80 | Sing Along2 | Bebefinn Nursery Rhymes For Kids,192.0,2023-05-05T22:00:07Z,99569143,False,24
UC0SL3NUSSyqJalOuLjhVFiA,aTc_TUDFx2A,Drawing And Coloring A Family 👩👨👧👶🐶 Drawings For Kids Learn Colors 🌈 Easy Drawings For Kids,256.0,2024-08-20T17:30:18Z,15539,False,0
UC0SL3NUSSyqJalOuLjhVFiA,eHHHN-C_Cns,Drawing And Coloring Peppa Pig Washing Her Hands 🧼💦 Learn Colors 🌈 Easy Drawings For Kids,208.0,2024-06-22T13:07:41Z,13152,False,1
UC1ciY6kR3yj3kaKZ6R7ewAg,JeLIYZJ3hfM,Bandar Mama Pahan Pajama - 3D Animated Hindi Rhymes,153.0,2014-06-08T10:17:32Z,2459625481,False,0
UC1ciY6kR3yj3kaKZ6R7ewAg,N-V_omSSi4M,Mausam Hua Garam | Hindi Rhymes for Children | Infobells,127.0,2017-04-14T06:25:50Z,1407084408,False,1
UC1ciY6kR3yj3kaKZ6R7ewAg,uLLpESPH-uA,Getting Ready for School | Hindi Rhymes for Children | Infobells,93.0,2017-06-02T12:03:56Z,1344408200,False,2
UC1ciY6kR3yj3kaKZ6R7ewAg,vzEpSWITbyo,Aloo Kachaloo Aur Pyaaz | Hindi Rhymes for Children | Infobells,138.0,2019-11-08T13:31:13Z,1020851353,False,3
UC1ciY6kR3yj3kaKZ6R7ewAg,DERMiL7I5vo,Lalaji Aur Gaay Kids Song | Hindi Rhymes for Children | Infobells,134.0,2018-11-30T07:15:00Z,1020705629,False,4
UC1ciY6kR3yj3kaKZ6R7ewAg,pYCRA2TX8Lo,Bandar Mama Aur Kele | Hindi Rhymes for Children | Infobells,133.0,2018-11-16T07:15:00Z,976703199,False,5
UC1ciY6kR3yj3kaKZ6R7ewAg,_Xv59lQ2_XU,School Bus Song - स्कूल बस गीत | Hindi Rhymes for Children | Infobells,824.0,2019-08-09T11:30:02Z,975973409,False,6
UC1ciY6kR3yj3kaKZ6R7ewAg,zZ8fqUIVWPo,Munna Ro Raha Tha - Crying Baby Song | Hindi Rhymes for Children | Infobells,122.0,2021-03-03T10:04:15Z,937336126,False,7
UC1ciY6kR3yj3kaKZ6R7ewAg,gAM6v3BkjYE,Hatti Raja Kahan Chale Hindi Rhymes,108.0,2014-08-30T16:16:09Z,926901718,False,8
UC1ciY6kR3yj3kaKZ6R7ewAg,7OXaY7M0wG8,Tip Tip Baarish Aayee | Hindi Rhymes for Children | Infobells,70.0,2017-07-21T11:30:00Z,880169113,False,9
UC1ciY6kR3yj3kaKZ6R7ewAg,MKlM07RkGU0,Aloo Kachaloo Beta Kahan Gaye The | Hindi Rhymes for Children | Infobells,110.0,2022-02-21T13:45:00Z,878491028,False,10
UC1ciY6kR3yj3kaKZ6R7ewAg,P5qRtbIgBps,Meri Gaiya Aati Hai | Hindi Rhymes Collection for Children | Infobells,851.0,2019-04-26T07:15:00Z,825007571,False,11
UC1ciY6kR3yj3kaKZ6R7ewAg,jNIuhizect8,Gaiya Meri - Hindi Rhymes for Children,75.0,2016-03-29T15:08:28Z,780911118,False,12
